source_column	line_no	reason	line
p001-c00	7	NO_MATCH	ab absente secund
p001-c00	12	NO_MATCH	ab adversa parte
p001-c00	20	NO_MATCH	Abbacue v. Abaen
p001-c00	37	NO_MATCH	abhorraàit 7-4, 100
p001-c00	46	NO_MATCH	ab ineunte aetate
p001-c00	49	NO_MATCH	ab initio adulescent
p001-c00	56	NO_MATCH	Abmos(?) 129, 34
p001-c01	1	NO_MATCH	. ALPHABETICVS
p001-c01	6	NO_MATCH	,48;125, abuuit 78,3
p001-c01	26	NO_MATCH	;132,147 absconditum 12, 90
p001-c01	35	NO_MATCH	,9; 124, abstinet 6, 50
p001-c02	2	NO_MATCH	AD COMMENTARI
p001-c02	3	NO_MATCH	NIANARVM.
p001-c02	15	NO_MATCH	, 15; acenbuit $1, 42
p001-c02	19	NO_MATCH	accusat, 50, 70
p001-c02	33	NO_MATCH	Achilléus 115, 11
p001-c02	34	NO_MATCH	achimenatis (?) 99, 96
p001-c02	45	NO_MATCH	, 42 acroma 106, 77
p001-c02	46	NO_MATCH	, 97; acromaticus 106, 78
p001-c02	47	NO_MATCH	actenus r. hactenus
p001-c02	54	NO_MATCH	; actorum 28, 83^
p001-c02	55	NO_MATCH	, acuit. 13, 47
p001-c02	59	NO_MATCH	" aeutor 73, 59
p001-c03	1	NO_MATCH	OS NOTARVM
p001-c03	24	NO_MATCH	! addidit 12, 75
p001-c03	39	NO_MATCH	; ad fadimas 128, 60
p001-c03	41	NO_MATCH	‘ adfecit. 22, 43
p002-c00	1	NO_MATCH	adfüxit 68, 16
p002-c00	10	NO_MATCH	. adgyrat 96, 17°
p002-c00	11	NO_MATCH	. adhaeret 51, 12
p002-c00	45	NO_MATCH	adm v. amm
p002-c00	64	NO_MATCH	ad nostra(m) praesentia(m)
p002-c01	1	NO_MATCH	— "n
p002-c01	37	NO_MATCH	-adsentit 21, 16 adi
p002-c01	45	NO_MATCH	adsistit L6, 98 ad
p002-c01	48	NO_MATCH	-adsparsit 64, 94 ; ad;
p002-c01	53	NO_MATCH	adstitit, 24, 53 ad
p002-c02	6	NO_MATCH	leger (?) 53, 20 aedilic
p002-c02	14	NO_MATCH	texit RO, 4° aeduli
p002-c02	17	NO_MATCH	‘inet 6, 51 Aedun
p002-c02	18	NO_MATCH	üngit 35, 12 Aegas
p002-c02	19	NO_MATCH	.ollit, 22, 79 aeger
p002-c02	24	NO_MATCH	;rectat 35, 16 Aegip]
p002-c02	28	NO_MATCH	über 79, 10 aegriti
p002-c02	49	NO_MATCH	rémt 20, 42 aequil
p002-c02	50	NO_MATCH	rénit 20, 49 aequin
p002-c02	59	NO_MATCH	versus homines aliqua , aerame
p002-c02	67	NO_MATCH	vespereseit, 69, 11 aerumi
p002-c03	1	NO_MATCH	la $1, 60
p002-c03	48	NO_MATCH	is £6, 31
p003-c00	40	NO_MATCH	Aggaeus (v. Aggeus
p003-c01	1	NO_MATCH	ajunt, 49, 43
p003-c01	4	NO_MATCH	[al 18, 51
p003-c01	27	NO_MATCH	, 66 alget 93, 42
p003-c01	38	NO_MATCH	,85 ^ alio modo 20, 15
p003-c01	40	NO_MATCH	) 124, aliquando 4, 224
p003-c01	53	NO_MATCH	! aliter et aliter 6, 7
p003-c01	63	NO_MATCH	' allectat 77, 89
p003-c01	64	NO_MATCH	, &llegit 25, 66
p003-c01	67	NO_MATCH	[ alleluia 128, 62
p003-c01	68	NO_MATCH	alleluia, alleluia. 128, 6.
p003-c02	13	NO_MATCH	Alpocrates $2, 8
p003-c02	23	NO_MATCH	Alünum 84, 11
p003-c02	60	NO_MATCH	,44 ambegit 41, 46
p003-c03	1	NO_MATCH	amfisbaena v. anfisbaena
